pro_id;pro_nama;dapil_id;dapil_kode;dapil_nama;URUTAN_SUARA_PARTAI;partai_id;PARTAI POLITIK;Urutan1;id;nama;nomor_urut;jenis_kelamin;tempat_tinggal;Suara;% SUARA;URUTAN SUARA;KURSI KE 1;KURSI KE 2;KURSI KE 3;KURSI KE 4;KURSI KE 5;URUTAN KURSI;TOTAL;JUMLAH KURSI;;PROVINSI;DAPIL DPRRI;;;;;;
11;ACEH;5001;1101;ACEH I;5;17;PARTAI PERSATUAN PEMBANGUNAN;2;113563;HILMAN ISMAIL METAREUM S.E.;3;L;KOTA ADM. JAKARTA BARAT;1518;0,011013168;5;;;;;;0;0;0;;JAWA TENGAH;DAERAH ISTIMEWA YOGYAKARTA;8;1;DAERAH ISTIMEWA YOGYAKARTA;DAERAH ISTIMEWA YOGYAKARTA;8;0
11;ACEH;5001;1101;ACEH I;5;17;PARTAI PERSATUAN PEMBANGUNAN;2;113567;CUT RATNAWATI;7;P;KOTA BANDA ACEH;829;0,006014438;6;;;;;;0;0;0;;JAWA TIMUR;JAWA TIMUR I;10;1;JAWA TIMUR;JAWA TIMUR I;10;0
11;ACEH;5001;1101;ACEH I;5;17;PARTAI PERSATUAN PEMBANGUNAN;2;113565;HARMANIAR;5;P;NAGAN RAYA;566;0,004106359;7;;;;;;0;0;0;;JAWA TIMUR;JAWA TIMUR II;7;1;JAWA TIMUR;JAWA TIMUR II;7;0
11;ACEH;5001;1101;ACEH I;5;17;PARTAI PERSATUAN PEMBANGUNAN;3;333333;TOTAL SUARA PARTAI;;;;137835;0,083586566;;;;;;;;;0;;JAWA TIMUR;JAWA TIMUR III;7;1;JAWA TIMUR;JAWA TIMUR III;7;1
11;ACEH;5001;1101;ACEH I;6;3;PARTAI DEMOKRASI INDONESIA PERJUANGAN;1;999999;SUARA PARTAI;;;;5325;0,039954381;;;;;;;0;0;0;;JAWA TIMUR;JAWA TIMUR IV;8;1;JAWA TIMUR;JAWA TIMUR IV;8;0
11;ACEH;5001;1101;ACEH I;6;3;PARTAI DEMOKRASI INDONESIA PERJUANGAN;2;101802;JAMALUDDIN IDHAM S.H. M.H.;2;L;NAGAN RAYA;71608;0,537287004;1;5;;;;;5;1;1;;JAWA TIMUR;JAWA TIMUR V;8;1;JAWA TIMUR;JAWA TIMUR V;8;1
11;ACEH;5001;1101;ACEH I;6;3;PARTAI DEMOKRASI INDONESIA PERJUANGAN;2;101801;SOFYAN DAWOOD;1;L;KOTA BANDA ACEH;34840;0,261410446;2;;;;;;0;0;0;;JAWA TIMUR;JAWA TIMUR VI;9;1;JAWA TIMUR;JAWA TIMUR VI;9;1
11;ACEH;5001;1101;ACEH I;6;3;PARTAI DEMOKRASI INDONESIA PERJUANGAN;2;101807;H. DAHLAN JAMALUDDIN S.I.P.;7;L;ACEH BESAR;9670;0,072555655;3;;;;;;0;0;0;;JAWA TIMUR;JAWA TIMUR VII;8;1;JAWA TIMUR;JAWA TIMUR VII;8;0
11;ACEH;5001;1101;ACEH I;6;3;PARTAI DEMOKRASI INDONESIA PERJUANGAN;2;101805;H. RAMLI MS;5;L;ACEH BARAT;9104;0,06830886;4;;;;;;0;0;0;;JAWA TIMUR;JAWA TIMUR VIII;10;1;JAWA TIMUR;JAWA TIMUR VIII;10;0
11;ACEH;5001;1101;ACEH I;6;3;PARTAI DEMOKRASI INDONESIA PERJUANGAN;2;101803;YUNIATI;3;P;KOTA SUBULUSSALAM;1465;0,010992144;5;;;;;;0;0;0;;JAWA TIMUR;JAWA TIMUR IX;6;1;JAWA TIMUR;JAWA TIMUR IX;6;0
11;ACEH;5001;1101;ACEH I;6;3;PARTAI DEMOKRASI INDONESIA PERJUANGAN;2;101804;RIFKI TAJUDDIN S.E.;4;L;PIDIE JAYA;1012;0,007593208;6;;;;;;0;0;0;;JAWA TIMUR;JAWA TIMUR X;6;1;JAWA TIMUR;JAWA TIMUR X;6;0
11;ACEH;5001;1101;ACEH I;6;3;PARTAI DEMOKRASI INDONESIA PERJUANGAN;2;101806;PUSPITA FIRDA OKTYANI;6;P;PURBALINGGA;253;0,001898302;7;;;;;;0;0;0;;JAWA TIMUR;JAWA TIMUR XI;8;1;JAWA TIMUR;JAWA TIMUR XI;8;0
11;ACEH;5001;1101;ACEH I;6;3;PARTAI DEMOKRASI INDONESIA PERJUANGAN;3;333333;TOTAL SUARA PARTAI;;;;133277;0,080822482;;;;;;;;;1;;BANTEN;BANTEN I;6;1;BANTEN;BANTEN I;6;1
